playerID,allCount,posCount,neuCount,negCount,allTime,posTime,neuTime,negTime,time,process,stopTime,stopCount,stopMeanTime,mean,var,standardMean,meanRate,standardVar,varRate,1-4-value,1-4-time,1-1-value,1-1-time,2-2-value,2-2-time,3-1-value,3-1-time,3-5-value,3-5-time,3-6-value,3-6-time,3-7-value,3-7-time,3-8-value,3-8-time,3-9-value,3-9-time,4-1-value,4-1-time,4-2-value,4-2-time,4-5-value,4-5-time,4-6-value,4-6-time,4-7-value,4-7-time,5-1-value,5-1-time,5-4-value,5-4-time,5-5-value,5-5-time,5-7-value,5-7-time,5-6-value,5-6-time,5-8-value,5-8-time,5-22-value,5-22-time,5-32-value,5-32-time,5-31-value,5-31-time,5-23-value,5-23-time,5-25-value,5-25-time,5-26-value,5-26-time,5-27-value,5-27-time,5-28-value,5-28-time,5-34-value,5-34-time,5-36-value,5-36-time,5-37-value,5-37-time,5-38-value,5-38-time,5-39-value,5-39-time,5-40-value,5-40-time,6-1-value,6-1-time,6-2-value,6-2-time,6-3-value,6-3-time,3-3-value,3-3-time,3-11-value,3-11-time,3-13-value,3-13-time,3-16-value,3-16-time,3-18-value,3-18-time,6-6-value,6-6-time,5-29-value,5-29-time,5-30-value,5-30-time,5-24-value,5-24-time,5-9-value,5-9-time,5-11-value,5-11-time,5-15-value,5-15-time,5-18-value,5-18-time,5-19-value,5-19-time,5-20-value,5-20-time,6-7-value,6-7-time,6-8-value,6-8-time,6-9-value,6-9-time,3-17-value,3-17-time,5-16-value,5-16-time,5-13-value,5-13-time
A01,42,0.38095,0.2381,0.38095,238.604,0.33421,0.32478,0.341,19.05,1,1,1,1,13.34385391,228.5181985,11.96472168,1.11527,179.688713,1.27174,1,5.219,1,2.289,-1,5.768,-1,3.133,1,3.263,-1,4.167,1,5.129,1,4.949,1,4.693,1,6.932,-1,4.22,-1,8.154,-1,4.171,1,5.129,1,3.033,0,14.77,-1,5.02,-1,3.887,-1,4.92,-1,4.819,0,5.564,-1,5.053,-1,5.062,-1,6.11,-1,3.975,0,6.119,-1,6.562,0,6.571,-1,6.344,0,4.265,0,10.307,0,12.95,0,5.565,1,5.397,1,6.688,1,6.036,0,6.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02,32,0.71875,0.09375,0.1875,196.869,0.71214,0.13384,0.15402,15.8,0.795001209,4.9,2,2.45,14.4557252,196.0327052,14.51266542,0.99608,175.7255266,1.11556,1,8.841,1,3.912,-1,5.604,-1,5.246,-1,4.374,1,4.339,1,4.352,1,4.5,1,5.436,1,4.615,1,6.339,-1,6.529,-1,4.509,-1,4.059,1,4.033,1,13.536,1,3.731,,,1,4.754,,,,,,,,,,,,,,,,,,,0,11.416,0,9.052,1,11.352,1,6.615,1,6.151,1,5.257,1,4.739,1,6.41,1,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04,32,0.78125,0.0625,0.15625,184.739,0.71306,0.07109,0.21585,12.4,0.8450014,1.85,1,1.85,17.20677091,147.8067775,13.13533238,1.30996,87.80859891,1.68328,-1,8.74,1,9.62,1,9.176,1,3.749,,,-1,6.468,1,5.343,1,4.989,1,4.954,1,4.763,1,7.247,-1,10.794,-1,5.153,1,8.764,1,4.166,1,4.787,1,3.232,,,1,4.365,,,,,,,,,,,,,,,,,,,1,5.417,0,7.854,1,8.752,1,5.231,1,3.432,1,4.432,1,3.954,1,3.108,1,6.569,1,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,34,0.61765,0.08824,0.29412,172.645,0.56981,0.0871,0.3431,14.4,0.785001159,3.35,2,1.675,15.06826408,273.4187276,17.81278649,0.84592,248.7592811,1.09913,-1,5.108,-1,10.165,-1,6.878,-1,12.351,-1,3.646,1,3.72,1,6.975,1,4.601,1,6.902,1,4.401,1,3.226,-1,4.443,-1,4.499,1,4.009,1,3.578,0,3.709,1,3.543,,,1,5.753,,,,,,,,,,,,,,,,,,,1,8.173,1,3.988,1,6.53,1,6.308,1,4.099,1,4.143,1,5.532,1,3.332,0,7.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A06,37,0.43243,0.24324,0.32432,208.372,0.41547,0.25035,0.33418,18,0.545000255,9.75,4,2.4375,4.609382775,48.19828809,3.910873875,1.17861,45.84876448,1.05125,-1,17.992,1,6.442,-1,6.225,1,4.118,,,-1,4.044,1,3.998,-1,4.598,,,1,14.95,-1,4.112,-1,5.238,0,5.651,-1,3.454,1,5.736,1,4.687,1,3.654,,,1,7.785,,,,,,,,,,,,,,,,,,,0,5.397,0,5.477,0,6.756,0,7.097,0,4.598,1,6.053,-1,5.236,1,3.771,0,7.634,-1,3.446,1,4.752,1,4.948,-1,4.476,-1,3.518,1,4.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A07,36,0.58333,0.13889,0.27778,262.237,0.57565,0.13812,0.28624,10.45,0.725000978,1.2,1,1.2,16.97725863,143.1052122,8.814853575,1.92598,124.3200748,1.1511,1,6.554,1,6.911,1,7.562,1,5.671,,,1,7.159,1,8.801,-1,6.142,,,1,4.809,1,3.911,-1,13.147,-1,5.381,1,4.592,-1,11.87,1,13.194,1,4.631,,,1,7.854,,,,,,,,,,,,,,,,,,,-1,9.829,0,6.86,0,12.272,1,15.09,-1,7.412,0,5.098,1,8.927,-1,5.259,1,7.964,1,5.668,1,7.068,1,6.169,-1,5.674,-1,4.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A09,47,0.2766,0.25532,0.46809,277.154,0.3106,0.27095,0.41844,13.85,0.600000501,4.1,2,2.05,10.43238948,174.3606975,13.02392578,0.80102,148.784975,1.1719,-1,7.084,1,4.666,-1,8.722,-1,3.731,-1,2.77,-1,3.776,-1,4.102,,,,,1,4.715,1,3.826,-1,5.34,0,4.216,-1,7.466,-1,3.787,1,7.32,-1,4.053,1,3.877,-1,7.216,-1,5.577,-1,5.732,,,-1,5.221,-1,4.397,-1,4.132,0,3.828,0,6.745,0,6.139,-1,5.678,0,4.463,0,8.418,1,12.694,0,7.776,0,5.598,1,7.687,-1,5.181,0,10.002,,,1,5.561,1,5.192,-1,6.235,-1,4.039,,,0,4.331,0,8.128,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,42,0.40476,0.28571,0.30952,372.464,0.35863,0.32041,0.32097,23.05,0.646667898,9.05,3,3.01667,18.41668871,385.9029229,13.51178279,1.36301,142.1896091,2.714,1,11.687,1,5.02,1,7.609,1,7.871,,,-1,5.662,1,6.004,1,5.152,1,4.989,1,16.876,1,4.546,-1,10.899,0,22.394,1,11.199,1,10.004,0,7.208,-1,4.562,-1,6.231,-1,14.869,-1,9.217,0,9.649,-1,8.145,-1,11.371,-1,6.257,0,5.651,0,10.018,0,5.591,0,7.667,0,15.739,-1,16.781,0,9.954,-1,9.868,0,6.904,1,8.998,1,7.933,-1,6.752,0,10.032,1,3.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11,38,0.5,0.26316,0.23684,207.001,0.45336,0.30975,0.23689,14.1,0.85500145,1.3,1,1.3,12.75906109,153.4579429,13.10325221,0.97373,84.5680847,1.81461,1,5.07,1,3.355,-1,7.567,-1,5.79,1,2.977,-1,3.827,1,3.814,1,3.969,1,4.567,1,5.447,-1,3.709,1,6.717,,,,,1,3.399,0,10.872,1,8.197,,,-1,4.232,-1,8.285,0,5.221,0,6.864,-1,6.586,1,4.453,,,,,0,4.262,0,7.765,0,5.909,1,8.95,0,6.686,0,7.431,0,4.277,-1,5.276,1,3.908,1,3.619,1,6.206,,,,,,,,,,,,,,,,,-1,3.765,,,,,,,,,,,,,,,,,,,,,,,,
A12,38,0.63158,0.13158,0.23684,247.089,0.55026,0.20351,0.24624,11.35,0.660000682,0,0,0,10.81963172,111.5051209,11.97543674,0.90349,134.5376466,0.8288,1,4.422,1,4.576,-1,6.478,1,10.583,,,1,4.298,1,5.25,1,4.274,1,5.12,1,5.267,-1,4.992,-1,8.47,-1,10.786,1,4.816,1,9.409,1,3.476,1,4.098,,,-1,7.771,0,7.778,,,,,,,,,,,,,,,,,0,9.072,0,10.407,1,7.373,0,14.79,1,3.308,1,5.07,-1,7.108,1,3.753,1,7.162,-1,2.468,,,,,,,,,1,12.859,,,,,,,1,4.897,1,3.476,,,,,,,,,,,,,,,,,,,,
